rank,player_id,name,position,source,vorp,draft_round,rationale,log_ref
468,11617,Malachi Corley,WR,vorp,-99.81180058591067,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
469,11068,Mitchell Tinsley,WR,vorp,-99.8118006811291,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
470,7531,Feleipe Franks,TE,vorp,-99.89200053602458,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
471,12500,Quinn Ewers,QB,vorp,-99.89599912166597,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
472,7562,Tutu Atwell,WR,vorp,-100.09580060072243,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
473,12389,Hayden Rucci,TE,vorp,-100.1640005400777,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
474,13151,Nick Kallerup,TE,vorp,-100.1640005400777,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
475,8484,Ko Kieft,TE,vorp,-100.1640005400777,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
476,8107,Nikola Kalinic,TE,vorp,-100.1640005400777,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
477,11508,Princeton Fant,TE,vorp,-100.1640005400777,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
478,11304,E.J. Jenkins,TE,vorp,-100.1640005400777,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
479,9489,Justin Shorter,TE,vorp,-100.1640005400777,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
480,10210,Cameron Latu,TE,vorp,-100.1640005400777,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
481,7216,Giovanni Ricci,TE,vorp,-100.1640005400777,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
482,111,Marcedes Lewis,TE,vorp,-100.1640005400777,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
483,10224,Brayden Willis,TE,vorp,-100.1640005400777,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
484,11381,Travis Vokolek,TE,vorp,-100.1640005400777,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
485,12715,Thomas Fidone II,TE,vorp,-100.1640005400777,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
486,8227,Teagan Quitoriano,TE,vorp,-100.1640005400777,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
487,6943,Gabe Davis,WR,vorp,-100.30880066737532,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
488,12470,Riley Leonard,QB,vorp,-100.36799904108048,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
489,331,Philip Rivers,QB,vorp,-100.50399910211564,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
490,4080,Zay Jones,WR,vorp,-100.73480061024426,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
491,11157,Brycen Tremayne,WR,vorp,-100.94780063457786,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
492,11618,Jalen McMillan,WR,vorp,-101.0188006144762,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
493,8135,Treylon Burks,WR,vorp,-101.65780066631734,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
494,12523,Jimmy Horn Jr.,WR,vorp,-101.87080061659216,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
495,3976,Mitchell Trubisky,QB,vorp,-101.91999901533127,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
496,7596,Elijah Moore,WR,vorp,-101.94180065996945,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
497,6920,Isaiah Hodgins,WR,vorp,-102.72280068218707,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
498,13079,Jahdae Walker,WR,vorp,-103.29080071181059,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
499,260,Josh Johnson,QB,vorp,-103.41599900722504,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
500,12482,Savion Williams,WR,vorp,-103.43280068218708,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
501,12860,Theo Wease Jr.,WR,vorp,-103.8588006567955,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
502,12718,Konata Mumpfield,WR,vorp,-104.35580070652067,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
503,8204,Bo Melton,WR,vorp,-105.06580065362155,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
504,12541,Dont'e Thornton Jr.,WR,vorp,-105.56280066102742,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
505,4171,Josh Reynolds,WR,vorp,-105.84680069699883,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
506,5185,Allen Lazard,WR,vorp,-105.91780072979628,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
507,4972,Mason Rudolph,QB,vorp,-107.16799901425838,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
508,4082,Curtis Samuel,WR,vorp,-107.26680071815848,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
509,4992,Dante Pettis,WR,vorp,-107.55080066949128,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
510,11633,Jamari Thrash,WR,vorp,-107.55080069065093,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
511,11895,Mason Tipton,WR,vorp,-107.7638007044047,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
512,6427,Ashton Dulin,WR,vorp,-108.0478006451577,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
513,7496,Nick Westbrook-Ikhine,WR,vorp,-108.11880070969463,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
514,7610,Trey Lance,QB,vorp,-108.15199893712997,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
515,9230,Tanner McKee,QB,vorp,-108.46399900019169,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
516,11557,Joe Milton III,QB,vorp,-109.03999894261361,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
517,8413,Chris Oladokun,QB,vorp,-109.08799898028374,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
518,13150,Darius Cooper,WR,vorp,-109.32580070652067,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
519,829,Andy Dalton,QB,vorp,-109.35999901294709,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
520,7039,Cody White,WR,vorp,-109.46780070863663,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
521,11994,Kameron Johnson,WR,vorp,-109.6808007223904,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
522,8160,Kenny Pickett,QB,vorp,-110.07999896109105,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
523,7757,Ben Skowronek,WR,vorp,-110.24880073085427,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
524,12542,Efton Chism III,WR,vorp,-110.53280072450637,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
525,12775,Max Brosmer,QB,vorp,-110.67999901771546,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
526,12670,KeAndre Lambert-Smith,WR,vorp,-110.81680074989795,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
527,11257,Shedrick Jackson,WR,vorp,-110.95880074143409,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
528,11806,Casey Washington,WR,vorp,-111.31380070440471,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
529,6290,Scott Miller,WR,vorp,-111.45580073826014,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
530,8076,Michael Bandy,WR,vorp,-111.59780075095594,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
531,4574,Cooper Rush,QB,vorp,-111.67999901771546,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
532,8168,Skyy Moore,WR,vorp,-111.73980070017278,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
533,11210,Malik Heath,WR,vorp,-111.88180071286857,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
534,7595,Tylan Wallace,WR,vorp,-111.95280075624585,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
535,13101,Gage Larvadain,WR,vorp,-112.02380072556436,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
536,5096,Ray-Ray McCloud,WR,vorp,-112.37880073085427,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
537,10866,Aidan O'Connell,QB,vorp,-112.45599893927574,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
538,11921,Xavier Weaver,WR,vorp,-112.52080073297023,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
539,12539,Arian Smith,WR,vorp,-112.6628007350862,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
540,8002,Shane Buechele,QB,vorp,-112.7999989360571,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
541,4234,Noah Brown,WR,vorp,-112.80480071604251,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
542,10217,Clayton Tune,QB,vorp,-113.17599890828133,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
543,2152,Teddy Bridgewater,QB,vorp,-113.21599892675877,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
544,11256,Tyson Bagent,QB,vorp,-113.33599891960621,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
545,6957,James Proche,WR,vorp,-113.3728007350862,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
546,9229,Anthony Richardson,QB,vorp,-113.5039989054203,,"reconsidered 2026-08-28 (QB VORP reliability review): no change -- Daniel Jones is the confirmed 2026 IND starter (already promoted, see injury-recovery-games-missed-review); Richardson is battling rookie Riley Leonard for the #2 job, 3rd string at best, so the deeply negative rank is accurate, not injury-distorted. [VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
547,4179,Joshua Dobbs,QB,vorp,-113.52799893319607,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
548,3357,Brandon Allen,QB,vorp,-113.61599893271924,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
549,7538,Zach Wilson,QB,vorp,-113.81599891781808,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
